video_date,origin_poi_cate,dest_poi_cate,flow_n
2023-06-17,Shopping,Entertainment,1
2023-06-17,Transit,Cityscape,1
2023-06-19,Cityscape,Cityscape,2
2023-06-19,Cityscape,Shopping,1
2023-06-19,Shopping,Cityscape,1
2023-06-20,Transit,Cityscape,1
2023-06-20,Transit,Transit,1
2023-06-20,area,area,3
2023-06-21,Cityscape,Entertainment,1
2023-06-21,Entertainment,Entertainment,2
2023-06-21,Entertainment,Religious,1
2023-06-21,Religious,Cityscape,1
2023-06-21,area,Entertainment,1
2023-06-22,Hotel,area,1
2023-06-22,Transit,Entertainment,1
2023-06-23,Cityscape,Entertainment,1
2023-06-23,Dining,area,1
2023-06-23,Entertainment,Entertainment,3
2023-06-23,Entertainment,Transit,1
2023-06-23,Transit,Dining,1
2023-06-23,Transit,Transit,1
2023-06-23,area,Cityscape,1
2023-06-25,Cityscape,Cultural,1
2023-06-25,Cityscape,Entertainment,2
2023-06-25,Cultural,Transit,1
2023-06-25,Entertainment,Cityscape,1
2023-06-25,Transit,area,1
2023-06-25,area,Cityscape,1
2023-06-27,Cityscape,Cityscape,1
2023-06-27,Cityscape,Entertainment,2
2023-06-27,Cityscape,Shopping,1
2023-06-27,Entertainment,Cityscape,2
2023-06-27,Hotel,Shopping,1
2023-06-27,Natural,area,1
2023-06-27,area,Cityscape,1
2023-06-27,area,area,1
2023-06-29,Cityscape,Cityscape,1
2023-07-02,Entertainment,Religious,1
2023-07-02,Natural,Outdoor,1
2023-07-02,Natural,area,1
2023-07-02,Outdoor,Religious,1
2023-07-02,Religious,Religious,1
2023-07-02,Religious,area,3
2023-07-02,area,Entertainment,1
2023-07-02,area,Natural,1
2023-07-02,area,Religious,1
2023-07-02,area,Transit,1
2023-07-03,Dining,Shopping,1
2023-07-03,Entertainment,Entertainment,2
2023-07-03,Shopping,Dining,1
2023-07-04,Cityscape,Entertainment,1
2023-07-04,Entertainment,Cityscape,1
2023-07-04,Entertainment,Entertainment,6
2023-07-05,Natural,area,1
